Source,Target,Type,Id,Label,Weight
8,58,Directed,1001536,,1
8,11,Directed,1001537,,1
8,59,Directed,1001550,,1
8,36,Directed,1001551,,1
8,M,Directed,1001554,,1
8,60,Directed,1001564,,1
8,39,Directed,1001565,,1
9,61,Directed,1001578,,1
9,4,Directed,1001579,,12
9,NA,Directed,1001580,,26
9,M,Directed,1001582,,5
9,FALSE,Directed,1001583,,65
9,TRUE,Directed,1001588,,13
9,2,Directed,1001589,,7
9,1,Directed,1001590,,17
9,62,Directed,1001592,,1
9,5,Directed,1001593,,3
9,F,Directed,1001596,,8
9,3,Directed,1001603,,2
9,63,Directed,1001606,,1
9,18,Directed,1001607,,1
9,64,Directed,1001620,,1
9,25,Directed,1001621,,2
9,65,Directed,1001634,,1
9,66,Directed,1001648,,1
9,28,Directed,1001649,,1
9,67,Directed,1001662,,1
9,21,Directed,1001663,,1
9,68,Directed,1001676,,1
9,30,Directed,1001677,,1
9,69,Directed,1001690,,1
9,50,Directed,1001691,,1
9,70,Directed,1001704,,1
9,60,Directed,1001705,,1
9,71,Directed,1001718,,1
9,55,Directed,1001719,,1
9,72,Directed,1001732,,1
9,42,Directed,1001733,,1
9,73,Directed,1001746,,1
9,47,Directed,1001747,,1
10,74,Directed,1001760,,1
10,28,Directed,1001761,,1
10,NA,Directed,1001762,,19
10,M,Directed,1001764,,2
10,TRUE,Directed,1001765,,9
10,FALSE,Directed,1001766,,45
10,1,Directed,1001771,,9
10,5,Directed,1001773,,2
10,75,Directed,1001774,,1
10,40,Directed,1001775,,1
10,F,Directed,1001778,,7
10,4,Directed,1001785,,6
10,2,Directed,1001787,,9
10,76,Directed,1001788,,1
10,45,Directed,1001789,,1
10,77,Directed,1001802,,1
10,41,Directed,1001803,,1
10,78,Directed,1001816,,1
10,62,Directed,1001817,,1
10,79,Directed,1001830,,1
10,50,Directed,1001831,,1
10,3,Directed,1001841,,1
10,80,Directed,1001844,,1
10,92,Directed,1001845,,1
10,81,Directed,1001858,,1
10,89,Directed,1001859,,1
10,82,Directed,1001872,,1
11,83,Directed,1001886,,1
11,32,Directed,1001887,,1
11,NA,Directed,1001888,,6
11,F,Directed,1001890,,2
11,TRUE,Directed,1001891,,3
11,FALSE,Directed,1001892,,15
11,1,Directed,1001897,,6
